GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 5 minutes,Margin of Error; Total: - Less than 5 minutes,Estimate; Total: - 5 to 9 minutes,Margin of Error; Total: - 5 to 9 minutes,Estimate; Total: - 10 to 14 minutes,Margin of Error; Total: - 10 to 14 minutes,Estimate; Total: - 15 to 19 minutes,Margin of Error; Total: - 15 to 19 minutes,Estimate; Total: - 20 to 24 minutes,Margin of Error; Total: - 20 to 24 minutes,Estimate; Total: - 25 to 29 minutes,Margin of Error; Total: - 25 to 29 minutes,Estimate; Total: - 30 to 34 minutes,Margin of Error; Total: - 30 to 34 minutes,Estimate; Total: - 35 to 39 minutes,Margin of Error; Total: - 35 to 39 minutes,Estimate; Total: - 40 to 44 minutes,Margin of Error; Total: - 40 to 44 minutes,Estimate; Total: - 45 to 59 minutes,Margin of Error; Total: - 45 to 59 minutes,Estimate; Total: - 60 to 89 minutes,Margin of Error; Total: - 60 to 89 minutes,Estimate; Total: - 90 or more minutes,Margin of Error; Total: - 90 or more minutes
0500000US08059,08059,"Jefferson County, Colorado",248587,4815,5411,1232,19456,2309,29248,2630,36552,3165,39365,2766,18542,2001,44257,3608,10928,1397,11148,1475,19364,1909,9298,1511,5018,1271
0500000US08069,08069,"Larimer County, Colorado",140540,4410,4457,1245,17558,2609,27670,2805,29569,2736,19472,2617,8116,1512,11675,1596,3295,829,4272,1073,6372,1291,5640,1072,2444,691
0500000US08077,08077,"Mesa County, Colorado",59875,3545,3249,1007,8633,1857,11634,1991,15428,2125,8488,1848,2976,1566,3120,811,1141,781,755,523,1570,868,1560,641,1321,602
0500000US08101,08101,"Pueblo County, Colorado",61701,2836,2642,885,9683,1883,12466,1700,14613,2109,9408,1725,2248,763,3218,937,739,417,903,477,2993,889,1436,559,1352,683
0500000US08123,08123,"Weld County, Colorado",110839,3968,3097,1020,11425,1914,15664,2077,19088,2517,14504,1938,5313,1311,14617,2924,2916,817,4727,1165,9404,1986,7849,1296,2235,734
0500000US09001,09001,"Fairfield County, Connecticut",403275,7308,9684,1686,38928,2960,59682,4285,66194,4419,59381,4049,19172,1952,48878,3729,8754,1520,12914,1819,31692,2968,29597,2881,18399,1827
0500000US09003,09003,"Hartford County, Connecticut",409555,6373,13059,1788,45577,3302,68892,3906,76302,4378,66695,3530,30476,2667,53249,3261,9200,1737,11749,1770,19561,1970,8996,1461,5799,1374
0500000US09005,09005,"Litchfield County, Connecticut",89784,3173,4694,1326,7232,1468,13106,1709,11465,1836,10849,1504,6011,1015,12453,1477,2555,667,3492,1010,8443,1615,6895,1232,2589,753
0500000US09007,09007,"Middlesex County, Connecticut",77381,2872,2106,817,10437,1927,9669,1610,10387,1626,11515,1750,4727,984,10206,1554,3039,913,3743,1050,7668,1409,2823,917,1061,417
0500000US09009,09009,"New Haven County, Connecticut",397189,6365,12045,1837,39737,3559,62911,3427,64935,3831,63150,4383,27901,2713,52169,3622,10819,1742,13275,1736,23682,2633,16708,2264,9857,1598
0500000US09011,09011,"New London County, Connecticut",132559,3674,4898,1079,17906,1956,21226,2244,21929,2352,21691,2892,8098,1380,14988,2179,2669,970,4116,961,6198,1651,6782,2146,2058,674
0500000US09013,09013,"Tolland County, Connecticut",76362,2293,2052,582,6916,1475,8984,1603,8385,1644,11332,1589,6118,1312,14296,2065,3627,953,3793,865,5323,1104,3909,1236,1627,768
0500000US09015,09015,"Windham County, Connecticut",54298,2213,1055,432,6271,1228,8118,1557,7267,1406,6796,1438,2786,670,7231,1672,2141,725,2461,706,5210,1226,3592,914,1370,417
0500000US10001,10001,"Kent County, Delaware",67200,2772,651,355,8902,1789,10395,1465,12205,1781,10886,1479,2777,860,7507,1245,902,398,2953,933,4117,896,3825,1105,2080,653
0500000US10003,10003,"New Castle County, Delaware",245413,5469,4594,1111,19988,2802,35837,3378,48881,3685,42421,3236,19289,2564,29364,2670,5426,1041,6849,1531,14863,1956,12658,1569,5243,1282
0500000US10005,10005,"Sussex County, Delaware",76669,2780,3788,866,9451,1767,8586,1510,12693,1690,11504,1961,6117,1432,9831,1591,1990,644,3759,1438,4556,971,2612,702,1782,579
