GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US01351,01351,"ZIP 01351 (Montague, MA)",00,Total for all sectors,2010,32,132,826,3702
8610000US01354,01354,"ZIP 01354 (Gill, MA)",00,Total for all sectors,2010,22,115,564,2681
8610000US01355,01355,"ZIP 01355 (New Salem, MA)",00,Total for all sectors,2010,17,67,345,1927
8610000US01360,01360,"ZIP 01360 (Northfield, MA)",00,Total for all sectors,2010,45,635,6652,28528
8610000US01364,01364,"ZIP 01364 (Orange, MA)",00,Total for all sectors,2010,131,1264,8685,40732
8610000US01366,01366,"ZIP 01366 (Petersham, MA)",00,Total for all sectors,2010,29,104,382,1968
8610000US01367,01367,"ZIP 01367 (Rowe, MA)",00,Total for all sectors,2010,9,95,948,4124
8610000US01368,01368,"ZIP 01368 (Royalston, MA)",00,Total for all sectors,2010,9,b,D,D
8610000US01370,01370,"ZIP 01370 (Shelburne Falls, MA)",00,Total for all sectors,2010,117,681,3501,16406
8610000US01373,01373,"ZIP 01373 (South Deerfield, MA)",00,Total for all sectors,2010,143,2772,32380,123298
8610000US01375,01375,"ZIP 01375 (Sunderland, MA)",00,Total for all sectors,2010,46,498,5152,28277
8610000US01376,01376,"ZIP 01376 (Turners Falls, MA)",00,Total for all sectors,2010,110,1706,14917,64942
8610000US01378,01378,"ZIP 01378 (Warwick, MA)",00,Total for all sectors,2010,3,a,D,D
8610000US01379,01379,"ZIP 01379 (Wendell, MA)",00,Total for all sectors,2010,10,22,45,196
8610000US01380,01380,"ZIP 01380 (Wendell Depot, MA)",00,Total for all sectors,2010,2,b,D,D
8610000US01420,01420,"ZIP 01420 (Fitchburg, MA)",00,Total for all sectors,2010,793,9734,70863,313911
8610000US01430,01430,"ZIP 01430 (Ashburnham, MA)",00,Total for all sectors,2010,93,755,5444,22958
8610000US01431,01431,"ZIP 01431 (Ashby, MA)",00,Total for all sectors,2010,46,132,865,4405
8610000US01432,01432,"ZIP 01432 (Ayer, MA)",00,Total for all sectors,2010,242,5440,53986,228987
8610000US01434,01434,"ZIP 01434 (Devens, MA)",00,Total for all sectors,2010,61,2290,40321,171339
8610000US01436,01436,"ZIP 01436 (Baldwinville, MA)",00,Total for all sectors,2010,31,f,D,D
8610000US01438,01438,"ZIP 01438 (East Templeton, MA)",00,Total for all sectors,2010,21,c,D,D
8610000US01440,01440,"ZIP 01440 (Gardner, MA)",00,Total for all sectors,2010,416,6282,46439,210171
8610000US01441,01441,"ZIP 01441 (Westminster, MA)",00,Total for all sectors,2010,3,f,D,D
